Publisher,Followings,Followers
programmer_fa,1,"1,141"
abdeveloper,230,119
sourdar2,138,257
FarTalDic,1,11
mr_tahavvori,553,280
alirezashirazi,"1,593","15,872"
YasharDarabian,221,168
Alirezababae,74,21
Reza7rm,272,288
AmiinGh,85,6
mohamadbehrouz,113,55
kawehzohri,0,283
attaranP,502,848
Midnight_Geek,507,407
simayaghobi,66,36
nimahkh1,"1,374",770
hadifarnoud,728,"5,095"
farajiasma,167,131
SaeedSazgari,368,284
AmirarsalanHor,55,22
ahmad07630604,53,67
majidseydi,352,439
saeed_choobani,207,"1,928"
rajabi_meisam,"3,236","1,954"
alirezaazadi765,856,313
davodm,531,"2,278"
Atlas_1993,"2,391","2,790"
hossein_df,208,96
afshin_samadian,48,12
Amin007110,"1,613","1,592"
chaghalebadoomm,208,"3,343"
amunima,74,666
shafiee,"1,982",590
garage_hacks,130,60
Ali_rezanazari,527,274
Manishabanzadeh,251,89
hossein_abrar,58,304
2min_2me,247,429
sataroloiob,787,505
Aza_shpr,406,349
Rahimiaan,159,397
ProDevIr,62,267
karpishehjob,3,2
DukeHamed,342,210
Benyamin_Shafi,208,"2,213"
majidhn371,57,"3,853"
smilingCrocodil,"1,055","1,043"
na_weeeed,236,63
EhsanRangani,212,112
morphyoos,66,47
sivarisa90,239,158
GhelichiNader,122,57
bbagherian12,91,127
mojtabaloresta2,75,103
mehdy314,302,"1,506"
android20714493,376,301
sadeq_hosseini,188,"8,719"
anjidani,242,"1,271"
dosinderal,463,125
zhuanism,"1,730","6,523"
hafez_hakami,784,"3,559"
BehzadianAli,803,987
tehran,994,"6,253"
mrrobotii,333,122
aliiirzz,335,192
MiladJavanmardy,319,"2,017"
__pdrum__,306,336
ali_shahbandi,"2,167","1,131"
payamQorbanpour,113,85
info08191685,94,8
IrIgnition,195,655
newseijiro,900,"2,763"
AliKolahi,197,"1,030"
AS_GOODLOOKING,57,11
Ali_r_tav,76,16
AmirTwits,377,899
mostafafkhami,901,249
Hamid_reza_asna,6,11
bardia_heydari,479,"3,775"
JustBeMentalist,"1,126","4,458"
AghayePejman,567,981
erfanafre,858,"1,645"
alirkay,160,250
danaenayati,125,"1,138"
mohamadalizaker,179,131
hnikaein,98,109
s_reza_mosavi,150,100
___Sabix,342,624
MoeenRezaei,152,52
jaavid,"1,783","3,948"
danielalefsefr,484,828
amirhastam77,168,59
MrEmnE,255,522
Tarrahandookht2,90,12
mrkintelligent,321,69
navidlali,232,44
Alqz981,39,5
EnN3MmY,69,12
behroouz1365,not_found,not_found
rastgoo_morteza,"1,391",310
iamarashnasiri,75,33
KoroshAmini4,221,164
Ymoshirfar,204,"2,158"
Ghafouri11,177,50
__mhab__,485,132
alirezamokh,151,220
HamedNT1983,384,163
Alireza_kianiii,288,336
OmidHeravi,37,25
AdelTalebi,757,"6,321"
BehnamKeshani,392,"2,246"
MohaYazdi,140,35
F_Khodamoradi,295,263
thantez,175,132
ASTIGMA17274667,0,1
ShariarTeimouri,not_found,not_found
penguin_parande,919,275
xgfP4TfxKcwKDR3,206,50
morfa22,184,126
JHzums,412,303
javadOftadeh,"1,227","4,032"
MasoudTB,"1,511","3,715"
FoadAbdollahi,53,71
M3154M,830,844
ShahabKhb,283,101
PVahidi,"1,127","1,107"
mofaghih,145,32
amin11d944,"1,857","1,582"
amir_HP,374,"1,982"
sepanset,442,102
NedaLohordi,263,90
arashakimi,533,694
mobimb,145,43
Mirzaee__Ali,440,220
amirbaghereal,96,9
imijo2,"1,726","1,313"
MarjanSoleimani,294,423
abasshahmirzaei,101,28
MaysamBehravesh,203,"6,074"
viiiiiiiiz,766,435
farazeiran,102,75
akkashehbehnam,"1,334",532
MEHR1DAD,"1,138",658
sabaazarpeik,"2,716","77,166"
Iranfozool,539,321
behzadian,433,938
mahdighoreish,272,418
AlborzSiahpoosh,206,132
khanekharab,524,37
RezaShirazi_com,520,"2,441"
najafisaeed73,"2,046",993
rezatashtboland,102,70
mild60050683,233,113
kooler24,813,274
MohammadKani,232,402
nkouhi,303,340
AlisinaFakhraee,105,17
hamin_mohsen,529,107
yaghmaee,136,57
Mehdi88401427,182,28
mlhobbyist,745,351
rasoulsaeedi_ir,485,481
mamadmahdib,603,357
sasaniaaan,288,60
Exitcast1,not_found,not_found
ArashRahimian,439,133
gisoogolabatoon,515,510
mohsen313akbari,54,1
MahdiyarUznetir,93,59
mahditavakkolii,668,407
MarziQz,"1,290","1,638"
meysammash,207,473
MiladLowni,285,"1,330"
mmbagheri1988,354,194
Alirza_S,700,368
pazqak,not_found,not_found
1392Youness,102,6
msedaghati69,136,56
AwesDea,314,504
MohammadAlaei15,221,67
_siavasha,855,"2,677"
Kaveh40628546,"1,503",121
rz_sb4,91,122
amiremami23,98,20
i_love_python,188,30
mohammad784,187,"5,381"
Behnamtarin2,381,888
M_Mehdi_Salari,719,246
SINNA_14,6,80
saeedze,470,78
abjadhavvazz,414,14
AhmadMedadi,"1,163","3,183"
hosimaz,461,"1,791"
0mid_1991,714,662
Uu2Rbe,465,326
ahmadkarimi9222,21,6
Navid_Nabavi,"1,016",899
mahmood8664,305,215
mahdi_gomroki,37,61
jamalahmadis,620,798
dextermorguan,"1,446","1,841"
AZafarmand,230,130
Amin_913,172,79
sys1388,65,522
idhamsoo,450,411
ArashKheirkhahv,106,106
fausto_h9,281,240
HamidR_Qodmanan,66,44
YasinKarbasi,"5,800","5,288"
nimast19,62,17
shayan_shj,520,284
PishiRoghayeh,529,382
Farimah_byt,932,"1,065"
Leonard50776371,895,141
mheidarizadeh,865,131
Alokrez,968,252
morgh_amin,103,260
aaaasssss2000,779,221
FM64895517,183,60
jetbl4ck,648,220
pedramteymoori,422,795
Ashrafzadehn,"19,638","19,800"
hasanataie,276,135
nimaashrafzadeh,"3,482","4,003"
hoseinmontazer,886,"2,029"
zql00,941,"1,032"
legoshi021,301,297
MasoudJavaheri,186,72
MhNakhaei,180,148
majid_razavi,89,42
SMahdiMortazavi,73,22
MohammadAzhdary,759,294
jimy__neutron,709,"1,620"
SeyyedMahdiyar,"1,079",349
saberkhosravi,"2,655","2,628"
alimaghsood,557,138
amirfs,270,702
maghsoudloo,112,608
SadeghZanganeh,443,"1,640"
Mahnaz45104095,298,143
HrChitchian,47,88
saeedipchilar,"1,331",431
mohammadhosenz2,990,"5,184"
hadishajari,285,369
MehrdadEP,84,100
Nima1980,882,"7,374"
AlirezaMhmdi,89,155
amirpouya7x,612,248
smfathi69,190,179
r_parnian,"1,138",495
amiraliesz,220,95
alibayat73,135,219
MSLMN1400,840,166
mersadkhan,542,368
farhadeto,929,"3,954"
imparsua,283,126
sound_recorder,409,182
iranacto,194,255
AbbasKeshtkar,649,205
Minasadati9,171,134
maryamH290,305,293
xhdix,275,961
amirnazemy,896,"14,037"
NimaQazi,240,"1,753"
imanbaik1,"1,280","1,480"
hessamarmandeh,129,"8,675"
msaremif,"1,296","3,235"
hossein891,"1,657","2,024"
amire_tanha,"1,813","14,607"
Mohamadsaadat4,194,130
Farzadium,631,344
miir_h,222,171
Mohsen_Soo,"1,213",379
M3y_Mah,280,178
MangoBango0,314,144
hjzde_tehran,"1,289",531
aakkppaarr,"3,116",286
RezaSaadat1,397,444
ghotall,309,191
BiyaBedehBoro,85,74
moshtaghi,399,492
s7az2mm,153,"20,623"
Vaaaez,299,"2,614"
Ali_negary,not_found,not_found
mohsenmaassumy,"1,245",639
mh_zanjani,309,43
Firoozi,268,"1,168"
dahrafimatah,115,"1,133"
saadat65,782,472
itsoltan,145,176
akashfi,119,172
MJiryan,174,338
imhdi_ir,52,71
noobiemarketer,470,193
vrsoleimani,525,405
Sina_zam,292,153
iatmat,273,439
amirhossein_d1,132,266
MostafaNemati6,105,227
VahediArya,194,383
unksalehamir,146,279
s_soroosh,451,"1,387"
hadi_aliakbar,716,"1,804"
pouya_fr,334,150
shentiaspirit,135,64
mehdi_apr,425,"3,191"
Moshaver9,407,37
nima_sichani,not_found,not_found
strings95,511,495
rahbarme,"1,133",447
m_sadegh_khan,50,46
mohamadbgi,128,137
MagComma,55,155
rezababaei_1991,"4,511","2,511"
hamedtechir,193,355
alirezah91,173,233
shahbazi_ar,"1,444","2,206"
mtashackori,935,543
mazinaniali,465,977
stup360,162,"1,067"
antieverythingi,"1,394",401
siavashh,"1,165","11,136"
hamed_im,not_found,not_found
naeem_farhadian,404,896
orujali,964,684
hamedjvh,208,218
AmooMorad,93,133
Khakshoornia,367,129
amir_mousavy,496,"1,468"
kebritam,64,71
armaeel,"1,184",766
Awir44,544,340
esytaba,154,114
ho3ein1993j,353,97
Eh_Ha,278,17
nima_ab,944,"2,131"
alimfazeli,505,451
alirezaamooei,160,121
Milad_Jafari,186,"1,914"
aaammmmiiiinnnn,132,195
amirorima,475,"1,951"
HPourjam,0,"1,875"
Alamdar1040,134,44
Derakhshan_mor,246,392
Mahdi_AbDoust,"1,923",414
Sinatavakolib,99,98
mahDsyzdn,54,34
itsmereza,368,"9,007"
HaMohammadi,101,"2,051"
kavee_amin,154,171
qasem_d89,212,55
Timematters3,323,263
respinerr,73,19
HMahmoudzadeh,59,479
Seantheyahn,93,65
Brother_antifa,"2,292",300
Sehosseini51,997,"1,403"
mahyarmoradiii,"1,145",377
aleeiiiiii,450,137
mansoheil,83,106
habib_nikjoo,189,329
imansaramad,263,66
amoobehnamkhan,"1,150",423
AmirHMohsenian,271,68
hamednaraghii,133,92
StupidSpud,378,105
RasamRostami,635,"1,841"
imna_farsi,"3,521","5,750"
minacheragh,246,80
1Bahmani,324,206
_aliabz,62,26
tody_ir,14,3
ehs_ysf,745,569
Salite_89,"2,397","1,632"
reshadman,"1,872","4,124"
BEhsandoust,502,394
Behroouz13650,not_found,not_found
siiii_naa,240,64
saeed_sharbafi,361,40
ARHadipour,254,47
zahra__sn,309,366
HassanGolmoham1,116,46
sadjadb,900,"5,756"
Mali71080643,60,65
rezaqassemi,99,180
IdaMcDimples,512,561
JafarpourShahin,not_found,not_found
amirrezasocial,329,411
hadiroohi,97,31
hkazazi,"1,534","3,311"
kheilikhaste121,323,383
_iamajid,165,489
AbedinITO,44,38
nkarimian1360,39,23
mojtabad,"1,402","1,348"
d3rinmavi,102,118
BidokhtiAmir,54,48
milad_ibra,567,443
erfanioon,837,816
catsep,"3,109","5,346"
Alihit_twits,35,4
FakhrArash,11,1
x3n0b1a,"4,683","2,088"
Hamidsj5,758,421
_30rooss_,not_found,not_found
mahdiibarzegar1,171,72
ehsun_sh,456,212
Danialghodsy,"2,916","1,447"
iwasTaha,313,"2,078"
PouyaMohammadi,378,603
alibaghdoolabi,"1,027",997
sarvijafar3266,456,335
arianmoghbeli,990,"2,807"
a_mahdavizadeh,385,860
neer_oh,642,351
1995Mosi,140,55
NaserESP,59,65
alishahla13,678,"1,368"
pht_fm,686,"3,550"
pooya_jmi,"1,047","3,729"
mytechmix,55,193
barian00497102,149,45
vahid_ashrafian,485,"2,088"
Geiniofthelamp,181,42
MAribal_95,63,58
thorennaa,376,492
farshidilaty,"2,466","1,188"
sepidokhttt,158,166
sadra_me,"1,740","2,540"
itiransite,10,"19,132"
MansourDjawadi,387,462
vforvaricocele,112,"1,177"
b3hz4t,"4,066","3,905"
ir_startup,"1,431","1,419"
Amin_Ardanii,"1,477","3,180"
doorbash,125,291
porseshgarp,84,17
Imaaanam,314,370
Mrcollapsee,68,47
shahzadeario,"1,214",442
pemiphilo,596,"5,371"
Prs__Q,434,241
rezasamvati,27,3
TheTabaah,272,264
jalalafshar,410,925
kind_poseidon,"1,729",185
ringo_the_great,413,493
niroomandahmad,118,56
Alireza_BFard,983,649
marashi_mohamad,203,172
Seyf85310038,48,86
Zarrebinnews,23,"1,712"
Faghihimostafa1,54,"5,709"
mshomali_ir,319,316
mrj9424,"1,262","1,010"
hosseinhejazi93,109,966
Mahdisml,"1,539",438
ehsannaderpour,506,473
BasetWork,181,50
MrSadeghian,not_found,not_found
sayyedsaeid,708,"1,829"
masoud_mokari,286,95
ali_zohreh,442,230
1vahedi,"1,432",929
turkamanchay,not_found,not_found
chopoqi,598,594
AzadMoallem,"1,185","1,017"
OpAmp100,473,79
alireza_m313,307,263
ARASHka,"1,214","4,124"
softkomak,"1,056",144
GolestanMohsen,103,79
khanakimedia,165,249
Hamidkalhor3,953,397
rezaolfatnasab,484,"3,594"
saeed9193,195,129
abzare,"1,700","1,981"
startupmonit0r,787,813
yasaminbashiri,299,307
sajjadmohebbi,884,403
Alikhani_IE,400,44
ICTna,110,"1,366"
AghaFafary,74,49
MarjanLaghaee,303,"20,453"
mehrandvd,365,608
aliqanbarizade,210,139
pegahtousi,560,722
SaeidAalizade,198,78
ElMahnaz,not_found,not_found
ahmadabdolkhane,116,14
AliAzarkar,144,255
kpakfar,196,785
akdi,187,166
mehdimeskin,"1,245","1,027"
Mohammad5195,610,476
Abualibina,381,"2,948"
Agha_imaan,532,209
AminAmirsharifi,155,"4,417"
TheGrayed,38,33
injanews,0,30
farnam_violin,"4,337","2,359"
sinaxfa,963,588
farzaanfalaahat,"1,046",953
TechRasaFarsi,2,"2,515"
GodPascal,441,713
yaserzt,258,920
Rezah275,240,106
AmirpoorMehdi,337,"9,989"
seyd_hs,230,59
fa_retweet,446,"3,684"
FaridMbing,320,161
Babak4130,23,8
Shabnam1106,401,346
horalfe,18,7
MohammadB27,54,60
silvercover,530,"1,227"
TwittSportiran,239,"4,490"
taadaste,0,"2,438"
masoud_aghaei,70,44
mori76a,"1,071",651
LmzVh,414,"5,365"
DMboardMedia,49,752
seyed_ali_tg,948,"1,024"
SadraSys,0,82
ShahiElias,41,18
al1mz,"1,004","1,316"
7serGI7_,not_found,not_found
alirezaafkar,472,"2,050"
patopalangi,70,15
ManiMirjavadi,639,142
HadiMoradi_DM,985,"2,046"
Mehranjane92,152,17
MAminpur,50,13
AhmadvandVahab,301,389
AminShiravand,135,90
am18031990,86,55
eeErfan_Habibi,196,79
Parnianns,118,134
SMahmoudkhani,183,789
rohoo,290,"2,459"
theanother,"1,464","2,169"
havaliza,307,578
mhhassani,551,297
SMMahmoodi96,229,463
buihsan2,227,60
fanaei,190,720
sabi_sooli,81,22
alihashemi_99,456,"1,045"
Mettsfelanji,209,911
j4b3rz,322,118
amrasouli79,85,37
HONIAQMq2zaYtze,not_found,not_found
AmirRez62013719,142,88
GhannadiMohsen,345,114
HasanTBT,613,394
ArezooDarzi,288,719
Divar_Official,5,"2,839"
javanakism,"1,076","1,113"
AminBarmaki,469,159
SadeghBoroomand,not_found,not_found
sina_sone,324,108
aminbabadi89,108,228
hosseinsadri47,782,491
QDC98,153,171
bazar_kaar,53,923
AlirAsadi1,not_found,not_found
Emor04639470,193,175
Bazzar_kar,1,127
M_Iraji,766,645
webna,327,"59,199"
ameer_mousavi,478,543
Sohfalp560,"3,202","1,248"
saeedvarani,336,150
S1CKOWL,81,"3,012"
Deepurpledream1,184,219
matplot,358,243
srarash,626,713
Alireza47972888,"1,837","1,357"
miladkardgar1,246,20
digiclub_ir,7,0
M_Aqwerty,768,391
h64photographer,61,45
twit_bourse,75,"14,440"
IbrahimGolshani,207,"1,463"
mh_amiri13,631,724
m2hm8,388,331
barbod952,148,62
mattinvazeytoon,212,"5,354"
sadeghafshar_,31,1
mochenani,"1,139",569
RoozbehShamlou,548,187
Ehsan_mashhadi,53,24
sardarsls,245,73
HadiMotee,391,145
arman_mng,45,67
sadeghtaheriii,221,168
